"Estado","Municipio","Año","Crimen","Averiguaciones","Tasa","Lugar"
"Aguascalientes","Aguascalientes",2011,"Homicidios dolosos","    58","     7.05","  692"
"Aguascalientes","Asientos",2011,"Homicidios dolosos","     1","     2.13","  930"
"Aguascalientes","Calvillo",2011,"Homicidios dolosos","     2","     3.60","  860"
"Aguascalientes","Cosío",2011,"Homicidios dolosos","     0","     0.00","  952"
"Aguascalientes","Jesús María",2011,"Homicidios dolosos","     4","     3.84","  843"
"Aguascalientes","Pabellón de Arteaga",2011,"Homicidios dolosos","     5","    11.66","  496"
"Aguascalientes","Rincón de Romos",2011,"Homicidios dolosos","     0","     0.00","  952"
"Aguascalientes","San José de Gracia",2011,"Homicidios dolosos","     0","     0.00","  952"
"Aguascalientes","Tepezalá",2011,"Homicidios dolosos","     1","     4.91","  784"
"Aguascalientes","El Llano",2011,"Homicidios dolosos","     0","     0.00","  952"
"Aguascalientes","San Francisco de los Romo",2011,"Homicidios dolosos","     0","     0.00","  952"
"Baja California","Ensenada",2011,"Homicidios dolosos","    47","     9.58","  568"
"Baja California","Mexicali",2011,"Homicidios dolosos","   139","    14.22","  413"
"Baja California","Tecate",2011,"Homicidios dolosos","    29","    27.45","  211"
"Baja California","Tijuana",2011,"Homicidios dolosos","   418","    25.63","  231"
"Baja California","Playas de Rosarito",2011,"Homicidios dolosos","    40","    41.24","  141"
"Baja California Sur","Comondú",2011,"Homicidios dolosos","     0","     0.00","  952"
"Baja California Sur","Mulegé",2011,"Homicidios dolosos","     0","     0.00","  952"
"Baja California Sur","La Paz",2011,"Homicidios dolosos","     0","     0.00","  952"
"Baja California Sur","Los Cabos",2011,"Homicidios dolosos","     0","     0.00","  952"
"Baja California Sur","Loreto",2011,"Homicidios dolosos","     0","     0.00","  952"
"Campeche","Calkiní",2011,"Homicidios dolosos","     2","     3.64","  857"
"Campeche","Campeche",2011,"Homicidios dolosos","    10","     3.69","  853"
"Campeche","Carmen",2011,"Homicidios dolosos","    26","    11.21","  513"
"Campeche","Champotón",2011,"Homicidios dolosos","     8","     9.24","  584"
"Campeche","Hecelchakán",2011,"Homicidios dolosos","     1","     3.41","  869"
"Campeche","Hopelchén",2011,"Homicidios dolosos","     0","     0.00","  952"
"Campeche","Palizada",2011,"Homicidios dolosos","     0","     0.00","  952"
"Campeche","Tenabo",2011,"Homicidios dolosos","     0","     0.00","  952"
"Campeche","Escárcega",2011,"Homicidios dolosos","     5","     8.86","  598"
"Campeche","Calakmul",2011,"Homicidios dolosos","     3","    10.69","  527"
"Campeche","Candelaria",2011,"Homicidios dolosos","     4","     9.30","  581"
"Coahuila de Zaragoza","Abasolo",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Acuña",2011,"Homicidios dolosos","     8","     5.70","  747"
"Coahuila de Zaragoza","Allende",2011,"Homicidios dolosos","     2","     8.51","  611"
"Coahuila de Zaragoza","Arteaga",2011,"Homicidios dolosos","     2","     8.54","  610"
"Coahuila de Zaragoza","Candela",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Castaños",2011,"Homicidios dolosos","     3","    11.26","  511"
"Coahuila de Zaragoza","Cuatro Ciénegas",2011,"Homicidios dolosos","     1","     7.51","  661"
"Coahuila de Zaragoza","Escobedo",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Francisco I. Madero",2011,"Homicidios dolosos","     9","    15.74","  375"
"Coahuila de Zaragoza","Frontera",2011,"Homicidios dolosos","     9","    11.66","  496"
"Coahuila de Zaragoza","General Cepeda",2011,"Homicidios dolosos","     3","    25.30","  235"
"Coahuila de Zaragoza","Guerrero",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Hidalgo",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Jiménez",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Juárez",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Lamadrid",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Matamoros",2011,"Homicidios dolosos","    18","    16.40","  358"
"Coahuila de Zaragoza","Monclova",2011,"Homicidios dolosos","    20","     8.99","  591"
"Coahuila de Zaragoza","Morelos",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Múzquiz",2011,"Homicidios dolosos","     4","     5.85","  740"
"Coahuila de Zaragoza","Nadadores",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Nava",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Ocampo",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Parras",2011,"Homicidios dolosos","     1","     2.17","  929"
"Coahuila de Zaragoza","Piedras Negras",2011,"Homicidios dolosos","    12","     7.68","  650"
"Coahuila de Zaragoza","Progreso",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Ramos Arizpe",2011,"Homicidios dolosos","     9","    11.15","  516"
"Coahuila de Zaragoza","Sabinas",2011,"Homicidios dolosos","     6","     9.47","  572"
"Coahuila de Zaragoza","Sacramento",2011,"Homicidios dolosos","     0","     0.00","  952"
"Coahuila de Zaragoza","Saltillo",2011,"Homicidios dolosos","    87","    11.59","  500"
"Coahuila de Zaragoza","San Buenaventura",2011,"Homicidios dolosos","     2","     8.69","  603"
"Coahuila de Zaragoza","San Juan de Sabinas",2011,"Homicidios dolosos","     4","     9.42","  573"
"Coahuila de Zaragoza","San Pedro",2011,"Homicidios dolosos","     8","     7.58","  658"
"Coahuila de Zaragoza","Sierra Mojada",2011,"Homicidios dolosos","     0","     0.00","  952"
